Name,Ingredients,Instructions,nutr_per_ingredient,quantity,unit,weight_per_ingr,Total Time,Calories
Breadzle,"['water, bottled, generic', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', ""leavening agents, yeast, baker's, active dry"", 'sugars, brown', 'butter, without salt', 'wheat flour, white, all-purpose, unenriched', 'wheat flour, white, all-purpose, unenriched', 'water, bottled, generic', 'leavening agents, baking soda']","['In a small bowl if using a bread machine, or in the bowl of a standing electric mixer fitted with a dough hook, mix a 1/3 cup of the warm water (105-115 degrees) with the yeast and let stand until foamy.', 'Add the remaining cup of warm water along with milk, sugar & melted butter and swirl to dissolve the sugar.', '(If using a bread machine add mixture to bread machine at this point and continue).', 'Add flour and mix on dough cycle or med-low speed.', 'Remove dough from bread machine once it forms a nice a firm, pliable dough ball.', 'Add more flour if necessary.', 'Turn dough out onto a lightly floured table and knead for 2 minutes.', 'Roll into a 2 foot long log and cut into 12 even pieces.', 'Cover dough with plastic and a damp cloth and let sit for 10 minutes.', 'Pat dough into rolls and arrange on a lightly floured surface about an inch apart and cover with lightly oiled plastic wrap.', 'Let the rolls rest for an additional 30 minutes.', 'Preheat the oven to 425.', 'Lightly oil 2 baking sheets.', 'In a large stockpot, bring the cold water to a rolling boil and add baking soda.', 'Drop two rolls into the boiling water and boil for no more then 30 seconds, turning once.', 'Carefully remove with tongs or slotted spoon and hold above pot and let drain.', 'Sprinkle lightly with salt.', 'Repeat with the remaining rolls.', 'Arrange rolls on the oiled baking sheets and bake on the upper and middle racks of the oven for about 8-10 minutes, or until browned all over; shift pans from top to bottom and back to front halfway through, for even baking.', 'Let rolls cool on the baking sheets for about 5 minutes, then transfer them to a rack.']","[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 10.666666666666666, 'sug': 0.0}, {'fat': 0.29625, 'nrg': 12.75, 'pro': 1.0275, 'sat': 0.193125, 'sod': 13.375, 'sug': 1.58625}, {'fat': 0.75, 'nrg': 32.5, 'pro': 4.05, 'sat': 0.1, 'sod': 5.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 6864.0, 'pro': 0.0, 'sat': 0.0, 'sod': 624.0, 'sug': 1815.84}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}, {'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}, {'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 96.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2054688.0, 'sug': 0.0}]","['1 1/3', '2', '2 1/2', '13', '2', '2', '2', '3', '34']","['cup', 'tablespoon', 'teaspoon', 'cup', 'tablespoon', 'cup', 'cup', 'quart', 'cup']","[315.73333333333335, 30.5, 10.0, 1872.0, 28.4, 250.0, 250.0, 2841.6000000000004, 7507.2]",57.0,8933.25
Unknownchef86's Just-Right Sausage Links,"['pork sausage, link/patty, unprepared', 'water, bottled, generic']","['Cut the links apart with a pair of scissors and place in a cold cast-iron skillet over medium heat.', 'Add 1-2 tablespoons of water and cover (preferably with a heatproof glass lid, so you can watch the progress); simmer for 3-5 minutes or til the sausages start to soften a little.', '(Note: Start with one tablespoon of water and add more only if needed.', ""You just want enough water in there to create adequate steam and give the sausages time to simmer -- don't put too much water in there or you'll wind up boiling them."", ').', ""Remove cover and, using two forks (use one to gently hold the sausages in place so they don't roll and one to poke them), quickly poke each sausage link 4 times."", 'Poke them crosswise, evenly down the length of the sausage -- like this: __:__:__:__:__ Immediately after finishing poking all the sausages, flip them all over and repeat on the other side.', 'Cover and simmer for approximately 5 minutes or til the juices run clear.', 'The water should be mostly gone by this point, but there should still be a little left in there.', 'Remove the cover and continue cooking to brown the sausages to desired doneness.', 'I like my with just a little crust to them, but not overdone.', 'Serve and enjoy!']","[{'fat': 112.490816, 'nrg': 1306.34496, 'pro': 69.8078088, 'sat': 34.3369144, 'sod': 3352.04488, 'sug': 4.2184056000000005}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.5, 'sug': 0.0}]","['1', '1']","['pound', 'tablespoon']","[453.592, 14.8]",10.0,1306.34496
Garlic Pesto Spread,"['spices, basil, dried', 'nuts, pine nuts, dried', 'cheese, parmesan, hard', 'spices, garlic powder', 'oil, olive, salad or cooking', 'butter, without salt', 'salt, table']","['Heat the pot slightly and slowly only until warm to touch and butter just melted into the olive oil and salt.', 'Add the processed 4 ingredients to the pot and turn off the heat after stirring for 1 to 2 minutes.', 'Continue stirring until well incorporated.', '(The less cooking of the garlic, the stronger the taste).']","[{'fat': 221.5343328, 'nrg': 12682.432319999998, 'pro': 1250.8252991999998, 'sat': 117.40775327999998, 'sod': 4136.75904, 'sug': 93.07707839999999}, {'fat': 23.075, 'nrg': 227.25, 'pro': 4.62, 'sat': 1.6535, 'sod': 0.75, 'sug': 1.2125}, {'fat': 9.600933239585876, 'nrg': 144.3749359336222, 'pro': 13.282494105893242, 'sat': 6.099841043195537, 'sod': 512.5310225643588, 'sug': 0.2887498718672444}, {'fat': 0.24000000000000002, 'nrg': 120.0, 'pro': 6.12, 'sat': 0.096, 'sod': 24.0, 'sug': 0.9600000000000001}, {'fat': 54.0, 'nrg': 476.0, 'pro': 0.0, 'sat': 7.456, 'sod': 0.0, 'sug': 0.0}, {'fat': 46.08, 'nrg': 408.0, 'pro': 0.48, 'sat': 28.676, 'sod': 8.0, 'sug': 0.04}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 6975.0, 'sug': 0.0}]","['12', '4', '4', '4', '4', '4', '3']","['pound', 'tablespoon', 'tablespoon', 'tablespoon', 'tablespoon', 'tablespoon', 'teaspoon']","[5443.103999999999, 33.75, 37.17654600290771, 37.2, 54.0, 56.8, 18.0]",2.0,14058.05725593362
Barbecued Pork (Cha Siu) Recipe,"['pork, fresh, loin, tenderloin, separable lean only, raw', 'pork, fresh, loin, tenderloin, separable lean only, raw', 'sauce, hoisin, ready-to-serve', 'catsup', 'sugars, granulated', 'salt, table', 'soy sauce made from soy (tamari)', 'salt, table']","['*Probably optional.', 'PREPARATION: Cut pork butt into 4 inch by 2 inch by 1 inch strips.', 'Mix rest of ingredients and rub over pork pcs.', 'Marinate at least 4 hrs or possibly overnight.', 'COOKING: Preheat oven at 375 degrees.', 'Line roasting pan with foil and place pork on roasting rack.', 'Roast a total of 45 min, turning over once or possibly twice.', 'DO-AHEAD NOTES: Barbecued pork can be made anywhere from a few days to 2 weeks in advance.', 'Just wrap and freeze.', 'For cool appetizers, thaw, then slice just before serving.', 'To reheat, thaw first and reheat in a slow oven till just heated through (about 20 min).', 'Delicious either way.', 'COMMENTS: Barbecued pork can be used in fried rice, egg rolls, filling for steamed pork buns, stir fry with vegetables and as garnishes for many noodle dishes.']","[{'fat': 29.528839199999997, 'nrg': 1483.24584, 'pro': 285.08257199999997, 'sat': 9.498216479999998, 'sod': 721.21128, 'sug': 0.0}, {'fat': 34.4503124, 'nrg': 1730.45348, 'pro': 332.59633399999996, 'sat': 11.081252559999998, 'sod': 841.41316, 'sug': 0.0}, {'fat': 1.08, 'nrg': 70.0, 'pro': 1.06, 'sat': 0.182, 'sod': 516.0, 'sug': 8.72}, {'fat': 0.08, 'nrg': 68.0, 'pro': 0.72, 'sat': 0.008, 'sod': 616.0, 'sug': 14.48}, {'fat': 0.0, 'nrg': 192.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 50.28000000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.02, 'nrg': 11.0, 'pro': 1.89, 'sat': 0.002, 'sod': 1005.0, 'sug': 0.31}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 581.25, 'sug': 0.0}]","['3', '3 1/2', '2', '4', '4', '1', '1', '1/4']","['pound', 'pound', 'tablespoon', 'tablespoon', 'tablespoon', 'teaspoon', 'tablespoon', 'teaspoon']","[1360.7759999999998, 1587.572, 32.0, 68.0, 50.400000000000006, 6.0, 18.0, 1.5]",,3554.6993199999997
Bread in Jars: Gingerbread,"['wheat flour, white, all-purpose, unenriched', 'sugars, granulated', 'leavening agents, baking soda', 'leavening agents, baking powder, double-acting, sodium aluminum sulfate', 'salt, table', 'spices, ginger, ground', 'spices, cinnamon, ground', 'spices, cloves, ground', 'margarine, regular, 80% fat, composite, stick, without salt', 'water, bottled, generic', 'molasses']","['Preheat oven at 325F (160C).', 'Place a baking sheet onto middle rack and remove top rack from oven.', 'Before starting batter, wash jars, lids, and rings in hot soapy wate r and let drain, dry, and cool to room temperature.', 'Generously prepare inside of jars with margarine.', 'To prepare batter, combine flour, sugar, baking soda, baking powder, salt, ginger, cinnamon, and cloves in a mixing bowl.', 'In another mixing bowl, combine margarine, water and molasses.', 'Divide batter among 5 jars.', ""Carefully wipe rims clean, then place j ars on baking sheet (or they'll tip over) in the center of oven."", 'Bake 40 minutes.']","[{'fat': 2.7675, 'nrg': 1023.75, 'pro': 29.0475, 'sat': 0.4365, 'sod': 4.5, 'sug': 0.765}, {'fat': 0.0, 'nrg': 576.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 150.84}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1259.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 1.0, 'pro': 0.0, 'sat': 0.0, 'sod': 244.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 581.25, 'sug': 0.0}, {'fat': 0.16, 'nrg': 12.0, 'pro': 0.32, 'sat': 0.094, 'sod': 0.0, 'sug': 0.11999999999999998}, {'fat': 0.029999999999999995, 'nrg': 6.0, 'pro': 0.1, 'sat': 0.009, 'sod': 0.0, 'sug': 0.05999999999999999}, {'fat': 0.135, 'nrg': 3.0, 'pro': 0.065, 'sat': 0.0415, 'sod': 3.0, 'sug': 0.025}, {'fat': 137.52, 'nrg': 1224.0, 'pro': 0.24, 'sat': 25.884, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 6.0, 'sug': 0.0}, {'fat': 0.17, 'nrg': 488.5, 'pro': 0.0, 'sat': 0.0305, 'sod': 62.5, 'sug': 125.905}]","['2 1/4', '3/4', '1', '1/2', '1/4', '2', '1', '1/2', '3/4', '3/4', '1/2']","['cup', 'cup', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'cup', 'cup', 'cup']","[281.25, 151.20000000000002, 4.6, 2.3, 1.5, 3.6, 2.6, 1.05, 170.39999999999998, 177.60000000000002, 168.5]",40.0,3334.25
Pizza Dough,"[""leavening agents, yeast, baker's, active dry"", 'water, bottled, generic', 'oil, olive, salad or cooking', 'salt, table', 'honey', 'wheat flour, white, all-purpose, unenriched']","['Dissolve yeast in warm water.', 'Add to food processor and combine remaining ingredients.', 'Pulse until ball starts to form.', 'Remove the dough from the processor and dust lightly with flour.', 'Place in a lightly floured bowel and cover with a damp cloth.', 'Let rise until it doubles in size about 45 min.,.', 'Punch down dough divide dough in to two separate but equal balls and roll thin.', 'Top with favorite toppings.', 'Bake 450 F for 12 to 18 minute.']","[{'fat': 0.6749999999999999, 'nrg': 29.25, 'pro': 3.6450000000000005, 'sat': 0.09, 'sod': 4.5, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 272.0, 'sug': 0.0}, {'fat': 27.0, 'nrg': 238.0, 'pro': 0.0, 'sat': 3.728, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 64.4375, 'pro': 0.06375, 'sat': 0.0, 'sod': 0.875, 'sug': 17.399375}, {'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}]","['2 1/4', '34', '2', '1', '1', '2']","['teaspoon', 'cup', 'tablespoon', 'teaspoon', 'tablespoon', 'cup']","[9.0, 8051.200000000001, 27.0, 6.0, 21.1875, 250.0]",18.0,1241.6875
Easy Oven Brown Rice,"['rice, white, long-grain, regular, unenriched, cooked without salt', 'salt, table', 'butter, without salt', 'water, bottled, generic']","['Preheat oven to 400 degrees F (200 degrees C).', 'Place rice, salt, and butter in a casserole dish that has a cover.', 'Pour boiling water over rice; stir.', 'Cover and bake in preheated oven until liquid is absorbed and rice is tender, about 1 hour.', 'Remove from oven, fluff with fork, and serve hot.']","[{'fat': 0.66, 'nrg': 307.5, 'pro': 6.375, 'sat': 0.183, 'sod': 3.0, 'sug': 0.12}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 24.0, 'sug': 0.0}]","['1 1/2', '1', '2', '3']","['cup', 'teaspoon', 'tablespoon', 'cup']","[237.0, 6.0, 28.4, 710.4000000000001]",60.0,511.5
Autumn Snack Mix,"['raisins, seeded', 'nuts, pecans', 'apples, raw, with skin', 'pears, raw', 'cranberries, dried, sweetened', 'cherries, sweet, raw', 'spices, cinnamon, ground']","['Preheat the oven to 200 degrees.', 'Mix all of the ingredients together (you can just throw them in a large plastic bag or storage container and shake until mixed).', 'Bake for ten minutes.', 'Serve or cool and store in a tightly sealed container.']","[{'fat': 1.335, 'nrg': 732.0, 'pro': 6.24, 'sat': 0.44099999999999995, 'sod': 69.0, 'sug': 0.0}, {'fat': 117.67500000000001, 'nrg': 1129.5, 'pro': 15.0, 'sat': 10.104, 'sod': 0.0, 'sug': 6.495}, {'fat': 0.315, 'nrg': 97.5, 'pro': 0.495, 'sat': 0.052500000000000005, 'sod': 1.5, 'sug': 19.485}, {'fat': 0.30000000000000004, 'nrg': 120.0, 'pro': 0.75, 'sat': 0.0465, 'sod': 1.5, 'sug': 20.475}, {'fat': 1.76, 'nrg': 492.0, 'pro': 0.28, 'sat': 0.14, 'sod': 8.0, 'sug': 116.08}, {'fat': 3.3600000000000003, 'nrg': 1044.0, 'pro': 17.52, 'sat': 0.624, 'sod': 0.0, 'sug': 212.28000000000003}, {'fat': 0.029999999999999995, 'nrg': 6.0, 'pro': 0.1, 'sat': 0.009, 'sod': 0.0, 'sug': 0.05999999999999999}]","['1 1/2', '1 1/2', '1 1/2', '1 1/2', '1', '12', '1']","['cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'teaspoon']","[247.5, 163.5, 187.5, 210.0, 160.0, 1656.0, 2.6]",,3621.0
Orange Chicken,"['chicken, broiler or fryers, breast, skinless, boneless, meat only, raw', 'oil, olive, salad or cooking', 'soy sauce made from soy (tamari)', 'cornstarch', 'orange juice, raw', 'sauce, barbecue', 'spices, pepper, red or cayenne', 'spices, garlic powder']","['Mix together cornstarch & soy sauce.', 'Add chicken and stir well.', 'Marinate for 10 minutes.', 'Mix together the orange juice, red pepper flakes, garlic and BBQ sauce.', 'This is your orange sauce.', 'Heat the oil in a large skillet on med high.', 'Remove the chicken from marinade with a slotted spoon and carefully add to the skillet.', 'Cook on med high heat for 7-8 minutes or until cooked through.', 'Add the orange sauce and mix well, coating all the chicken, cook for 20 minutes, Stirring constantly until sauce is thick.', 'Serve with steamed or fried rice.', 'Enjoy!']","[{'fat': 17.8261656, 'nrg': 816.4655999999999, 'pro': 153.0873, 'sat': 3.830584439999999, 'sod': 306.1746, 'sug': 0.0}, {'fat': 27.0, 'nrg': 238.0, 'pro': 0.0, 'sat': 3.728, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.08, 'nrg': 44.0, 'pro': 7.56, 'sat': 0.008, 'sod': 4020.0, 'sug': 1.24}, {'fat': 0.015, 'nrg': 122.0, 'pro': 0.0825, 'sat': 0.003, 'sod': 3.0, 'sug': 0.0}, {'fat': 0.375, 'nrg': 84.0, 'pro': 1.305, 'sat': 0.045, 'sod': 1.5, 'sug': 15.622499999999999}, {'fat': 0.33, 'nrg': 87.0, 'pro': 0.42000000000000004, 'sat': 0.024, 'sod': 525.0, 'sug': 16.950000000000003}, {'fat': 0.93, 'nrg': 18.0, 'pro': 0.66, 'sat': 0.177, 'sod': 3.0, 'sug': 0.5700000000000001}, {'fat': 0.060000000000000005, 'nrg': 30.0, 'pro': 1.53, 'sat': 0.024, 'sod': 6.0, 'sug': 0.24000000000000002}]","['1 1/2', '2', '1/4', '1/4', '3/4', '3', '1', '1']","['pound', 'tablespoon', 'cup', 'cup', 'cup', 'tablespoon', 'tablespoon', 'tablespoon']","[680.3879999999999, 27.0, 72.0, 32.0, 186.0, 51.0, 5.4, 9.3]",38.0,1439.4656
Basic White Bread,"['sugars, granulated', 'water, bottled, generic', ""leavening agents, yeast, baker's, active dry"", 'salt, table', 'oil, olive, salad or cooking', 'wheat flours, bread, unenriched']","['In a large bowl, dissolve sugar in warm water.', 'Stir in yeast.', 'Let yeast proof until its foamy and creamy.', 'You want it to rise above the water level.', 'Mix in salt and oil.', 'Mix in bread flour, 1 cup at a time, until dough comes together.', 'Knead dough on a lightly floured surface until it is smooth.', 'Place dough in a well oiled bowl, cover tightly with plastic wrap and then place a damp towel over plastic wrap.', 'Allow dough to rise in a warm place until it doubles.', 'This should take about 1 hour.', 'Once dough has doubled, punch down and knead gently for few minutes.', 'Divide dough in half.', 'Shape into loaves and place in 2 greased 9 x 5-inch bread pans.', 'Allow bread to rise once more, about 30 minutes or until dough as risen at least 1 inch above the pan.', 'Bake in a 350 degrees F oven for 30 minutes or until tops are golden brown.', 'Cool on a wire rack.']","[{'fat': 0.0, 'nrg': 9984.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 2614.5600000000004}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 16.0, 'sug': 0.0}, {'fat': 0.9, 'nrg': 39.0, 'pro': 4.86, 'sat': 0.12000000000000001, 'sod': 6.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 54.0, 'nrg': 476.0, 'pro': 0.0, 'sat': 7.456, 'sod': 0.0, 'sug': 0.0}, {'fat': 11.35, 'nrg': 2475.0, 'pro': 82.05, 'sat': 1.6700000000000002, 'sod': 15.0, 'sug': 2.1}]","['13', '2', '1', '1', '1/4', '5']","['cup', 'cup', 'tablespoon', 'teaspoon', 'cup', 'cup']","[2620.8, 473.6, 12.0, 6.0, 54.0, 685.0]",120.0,12974.0
Pooh's Honey Sauce 2,"['goji berries, dried', 'honey', 'milk, canned, condensed, sweetened']","['Combine all ingredients and mix well until blended.', 'Delicious as a topping or as a dessert all in itself!', 'Store in a tight-fitting jar in the fridge.', '""That\'s funny,"" he thought.', '""I know I had a jar of honey there.', 'A full jar, full of honey right up to the top, and it had HUNNY written on it, so that I should know it was honey.', 'That\'s very funny.""', '-- Winnie-the-Pooh.']","[{'fat': 0.022, 'nrg': 19.6, 'pro': 0.798, 'sat': 0.0, 'sod': 16.6, 'sug': 2.554}, {'fat': 0.0, 'nrg': 13403.0, 'pro': 13.26, 'sat': 0.0, 'sod': 182.0, 'sug': 3619.0699999999997}, {'fat': 371.84, 'nrg': 13776.0, 'pro': 338.24, 'sat': 234.752, 'sod': 5488.0, 'sug': 2327.36}]","['1', '13', '14']","['tablespoon', 'cup', 'cup']","[5.6, 4407.0, 4278.400000000001]",,27198.6
Hazelnut Crunch: Noci Croccante,"['sugars, granulated', 'water, bottled, generic', 'syrups, corn, light', 'syrups, corn, light', 'nuts, hazelnuts or filberts', 'butter, without salt', 'salt, table', 'leavening agents, baking soda']","['Line a heavy large baking sheet with parchment paper.', 'Stir the sugar, water, light corn syrup, and dark corn syrup in a heavy large saucepan over medium heat until the sugar dissolves.', 'Increase the heat to high and boil without stirring until a candy thermometer registers 260 degrees F, about 20 minutes.', 'Reduce the heat to medium-low.', 'Mix in the hazelnuts, butter, and salt (the mixture will be thick and nutty), and cook until the thermometer registers 295 degrees F, stirring constantly, about 15 minutes.', 'Quickly stir in the baking soda.', 'Immediately pour the caramel onto the prepared baking sheet, spreading it as thinly as possible.', 'Let stand until hard.', 'Break the brittle into pieces and store in an airtight container at room temperature.', 'If desired, serve over your favorite ice cream.']","[{'fat': 0.0, 'nrg': 1152.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 301.68}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 0.34, 'nrg': 482.5, 'pro': 0.0, 'sat': 0.0, 'sod': 105.5, 'sug': 130.895}, {'fat': 0.22666666666666668, 'nrg': 321.66666666666663, 'pro': 0.0, 'sat': 0.0, 'sod': 70.33333333333333, 'sug': 87.26333333333334}, {'fat': 174.65, 'nrg': 1805.0, 'pro': 42.975, 'sat': 12.835, 'sod': 0.0, 'sug': 12.475000000000001}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1259.0, 'sug': 0.0}]","['1 1/2', '1', '1/2', '1/3', '2 1/2', '2', '1/2', '1']","['cup', 'cup', 'cup', 'cup', 'cup', 'tablespoon', 'teaspoon', 'teaspoon']","[302.40000000000003, 236.8, 170.5, 113.66666666666666, 287.5, 28.4, 3.0, 4.6]",35.0,3965.1666666666665
Florentine Squares,"['cream, fluid, heavy whipping', 'syrups, corn, light', 'sugars, granulated', 'butter, without salt', 'nuts, almonds', 'pascha, organic bitter-sweet dark chocolate chips, upc: 842638005022']","['Adjust rack to lower third of oven and preheat oven to 400 degrees F. Line a 12-x-15 1/2-x- 1/2-inch baking sheet with aluminum foil, leaving a 2-inch overhang at each short end.', 'Batter: Pour the cream, corn syrup, and sugar into a 1 1/2-quart heavy-bottomed saucepan.', 'Stir to combine, then add the butter.', 'Stir over medium-low heat until the butter melts.', 'Then raise the heat to medium, and stir constantly with a wooden spoonespecially toward the end of cookingto prevent scorching.', 'Cook until the mixture reaches 238 degrees F, the soft-ball stage, on a candy thermometer, about 10 minutes; the mixture will appear between ivory-and straw-colored.', 'Remove from heat, and stir in almonds.', 'Pour the mixture onto the center of the foil-lined baking sheet, and spread it in as thin a layer as possible.', 'A pool about 8 inches in diameter is fine.', 'Bake for 3 minutes; then spread the liquid mixture more evenly over the baking sheet.', 'If the mixture still does not completely cover the baking sheet, bake another minute, then tilt the baking sheet to allow the mixture to spread evenly.', 'Bake for about 5 to 6 minutes total, or until golden but not dark brown.', 'Though the mixture bubbles while baking, the bubbles form more slowly toward the end of the baking time than at the beginning.', 'Place baking sheet on a wire rack and cool for 2 to 3 minutes.', 'While the mixture is still warm but no longer liquid, cut 1 1/2-inch squares using a ruler and pastry wheel.', 'If the mixture is too warm, it will not cut cleanly.', 'If it is too cool, it will splinter or not cut; in that case return it to the oven for a few seconds to soften it a bit.', 'Decoration: When the squares are completely cool, place the chocolate in a bowl over water at about 120 degrees F. When about two-thirds of the chocolate has melted, remove the bowl from the water.', 'With a dry rubber spatula, stir until the liquid chocolate melts the soft or unmelted chocolate that remains.', 'Fill a small handmade paper cone with the chocolate and snip off the tip.', 'Pipe thin lines of chocolate back and forth over the squares surface.', 'Refrigerate the squares briefly, just to set the chocolate.', 'Remove from the refrigerator and set aside in a cool, dry place.', 'To store, remove squares from the foil and place them in layers, separated by strips of aluminum foil, in an airtight metal or plastic container in a cool place up to 1 week.']","[{'fat': 14.433333333333332, 'nrg': 136.0, 'pro': 1.1366666666666667, 'sat': 9.212666666666667, 'sod': 10.666666666666666, 'sug': 1.1666666666666665}, {'fat': 0.10625000000000001, 'nrg': 150.78125, 'pro': 0.0, 'sat': 0.0, 'sod': 32.96875, 'sug': 40.9046875}, {'fat': 0.0, 'nrg': 576.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 150.84}, {'fat': 68.98283835, 'nrg': 609.797745, 'pro': 0.7229122499999999, 'sat': 42.94013716499999, 'sod': 9.355334999999998, 'sug': 0.05102909999999999}, {'fat': 70.77452675, 'nrg': 820.718025, 'pro': 29.97959625, 'sat': 5.3892399499999994, 'sod': 1.417475, 'sug': 6.166016249999999}, {'fat': 37.795553399999996, 'nrg': 680.3879999999999, 'pro': 15.1159534, 'sat': 37.795553399999996, 'sod': 0.0, 'sug': 22.6796}]","['1/3', '2 1/2', '3/4', '3', '5', '4']","['cup', 'tablespoon', 'cup', 'ounce', 'ounce', 'ounce']","[40.0, 53.28125, 151.20000000000002, 85.04849999999999, 141.7475, 113.398]",22.0,2973.68502
Italian Cream Soda,"['water, bottled, generic', 'syrup, maple, canadian', 'watermelon, raw', 'cream, whipped, cream topping, pressurized']","['Fill a tall glass half full with ice.', 'Fill to 2/3 with carbonated water.', 'Pour in watermelon and passion fruit flavored syrups, then float the half-and-half cream on top.', 'Stir when ready to drink.']","[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 80.35714285714286, 'pro': 0.0, 'sat': 0.0, 'sod': 2.6041666666666665, 'sug': 17.834821428571427}, {'fat': 0.021562500000000002, 'nrg': 4.3125, 'pro': 0.088125, 'sat': 0.0023437500000000003, 'sod': 0.1875, 'sug': 0.8953125000000001}, {'fat': 1.66625, 'nrg': 19.25, 'pro': 0.24, 'sat': 1.037375, 'sod': 0.625, 'sug': 0.6}]","['8', '3/4', '3/4', '1']","['fl. oz', 'fl. oz', 'fl. oz', 'fl. oz']","[236.8, 29.761904761904763, 14.4375, 7.5]",,103.91964285714286
Almond Milk (Non Dairy!) Recipe,"['nuts, almonds', 'syrup, maple, canadian', 'water, bottled, generic']","['Use raw almonds.', 'Place almonds in blender and grind to fine pwdr.', 'Add in syrup and 1 c water.', 'Blend 1-2 min till smooth.', 'With blender running on high, slowly add in remaining water.', 'Blend 2 min.', 'Place strainer over large bowl.', 'Line with cheesecloth (not 100% neccessary, but recommended.', 'Otherwise strain twice with very fine strainer.)', 'Pour almond lowfat milk slowly into strainer and let filter through.', 'When all lowfat milk has passed through strainer, press remaining lowfat milk out of accumulated almond fiber.', 'Each serving will be approximately 1-1/4 c.. Lowfat milk will keep in fridge 4-5 days.', 'Leftover fiber can be used as moisturizing body scrub in the shower.']","[{'fat': 35.7, 'nrg': 414.0, 'pro': 15.12, 'sat': 2.7185, 'sod': 0.5, 'sug': 3.11}, {'fat': 0.0, 'nrg': 53.57142857142857, 'pro': 0.0, 'sat': 0.0, 'sod': 1.7361111111111112, 'sug': 11.889880952380953}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 16.0, 'sug': 0.0}]","['1/2', '1', '2']","['cup', 'tablespoon', 'cup']","[71.5, 19.841269841269842, 473.6]",,467.57142857142856
